"","zip","donations","total","total_population","rate_per_1000"
"224","20867",14,1045,NA,NA
"225","20868",451,11939.11,780,578.205128205128
"226","20869",7,305,NA,NA
"227","20870",9,450,NA,NA
"228","20871",8598,204083.870000001,18628,461.563238136139
"229","20872",7302,125311.22,12603,579.385860509403
"230","20873",6,225,NA,NA
"231","20874",22381,527915.719999997,61087,366.379098662563
"232","20875",256,7279.07,NA,NA
"233","20876",9660,214333.43,30778,313.860549743323
"234","20877",15286,371444.01,38423,397.83463029956
"235","20878",41096,1313016.67999999,63030,652.006980802792
"236","20879",10054,219295.580000003,26164,384.268460480049
"237","20880",1356,52557.24,547,2478.97623400366
"238","20882",8651,261341.96,13988,618.458678867601
"239","20883",100,50776.7,NA,NA
"240","20884",42,388,NA,NA
"241","20885",98,2054.08,NA,NA
"242","20886",16207,362243.209999999,34834,465.263822701958
"243","20887",32,455,NA,NA
"244","20889",2,28,NA,NA
"245","20892",5,500,NA,NA
"246","20893",39,539,NA,NA
"247","20894",13,230,NA,NA
"248","20895",26497,1347975.36000001,19026,1392.67318406391
"249","20896",1962,161566.26,775,2531.61290322581
"250","20897",9,58,NA,NA
"251","20898",42,481.23,NA,NA
"252","20899",30,3050,295,101.694915254237
"253","20901",42989,1309525.87000001,36278,1184.98814708639
"254","20902",29875,1073108,52908,564.659408785061
"255","20903",6587,250580.1,27973,235.477067171916
"256","20904",41324,1477418.67000001,55275,747.607417458164
"257","20905",12733,509001.050000004,18662,682.295573893473
"258","20906",54095,1138991.14000001,70749,764.60444670596
"259","20907",244,4264.09,NA,NA
"260","20908",26,583,NA,NA
"261","20910",60712,2979373.47000001,44301,1370.44310512178
"262","20911",104,1824.23,NA,NA
"263","20912",38778,1936275.09,26140,1483.47360367253
"264","20913",335,55972.77,NA,NA
"265","20914",309,7685.58,NA,NA
"266","20915",29,3230,NA,NA
"267","20916",797,5998.53,NA,NA
"268","20917",23,1278.11,NA,NA
"269","20918",9,326,NA,NA
"270","20919",5,22,NA,NA
"271","20920",37,1202.4,NA,NA
"272","20922",1,250,NA,NA
"273","20923",16,527.75,NA,NA
"274","20925",3,150,NA,NA
"275","20932",10,172,NA,NA
"276","20939",24,152,NA,NA
"277","20941",1,25,NA,NA
"278","20950",294,5786.44,NA,NA
"279","20952",11,148,NA,NA
"280","20953",258,5330.93,NA,NA
"281","20954",129,1389.8,NA,NA
"282","20960",3,215,NA,NA
"283","20966",1,10,NA,NA
"284","20971",8,101.17,NA,NA
"285","20972",1,69.96,NA,NA
"286","20974",19,2103,NA,NA
"287","20976",1,10,NA,NA
"288","20977",1,100,NA,NA
"289","20978",18,547.82,NA,NA
"290","20979",3,17,NA,NA
"291","20984",1,10,NA,NA
"292","20985",2,105,NA,NA
"293","20986",16,98,NA,NA
"294","20991",128,1591.3,NA,NA
"295","20992",33,642,NA,NA
"296","20993",1,100,NA,NA
"297","20994",21,895,NA,NA
"298","20995",10,287.2,NA,NA
"299","20996",31,991.72,NA,NA
"300","20997",4,30,NA,NA
"301","21001",9185,126335.18,24752,371.081124757595
"302","21002",4,79,NA,NA
"303","21005",1513,7449.8,2872,526.810584958217
"304","21006",2,50,NA,NA
"305","21008",6,185,NA,NA
"306","21009",5538,94785.23,29905,185.186423674971
"307","21010",1196,18019.26,211,5668.24644549763
"308","21012",11344,448162.8,21600,525.185185185185
"309","21013",1809,42460.46,4768,379.404362416107
"310","21014",9571,216782.57,36538,261.946466692211
"311","21015",7969,198034.81,29199,272.920305489914
"312","21016",18,163.72,NA,NA
"313","21017",1139,18434.4,6983,163.110410998138
"314","21018",1,25,NA,NA
"315","21019",4,675,NA,NA
"316","21020",38,527,NA,NA
"317","21021",2,105,NA,NA
"318","21022",147,3757.27,NA,NA
"319","21023",188,7414.9,NA,NA
"320","21024",4,140,NA,NA
"321","21025",4,255,NA,NA
"322","21027",8,300,NA,NA
"323","21028",777,21243.45,2783,279.195113187208
"324","21029",5070,334097.21,10895,465.351078476365
"325","21030",9939,375350.119999999,24396,407.402852926709
"326","21031",10,589.24,0,Inf
