"","zip","donations","total","total_population","rate_per_1000"
"725","21801",4484,130242.53,29866,150.137279849997
"726","21802",194,2387.96,90,2155.55555555556
"727","21803",82,1374.16,NA,NA
"728","21804",7964,177007.22,40877,194.82838760183
"729","21805",3,225,NA,NA
"730","21806",1,25,NA,NA
"731","21808",11,149,NA,NA
"732","21810",3,90,814,3.68550368550369
"733","21811",9781,276675.02,24071,406.339578746209
"734","21812",5,255,NA,NA
"735","21813",1012,18157.77,2672,378.74251497006
"736","21814",274,5105.59,268,1022.38805970149
"737","21816",2,125,NA,NA
"738","21817",312,6336.91999999999,4515,69.1029900332226
"739","21818",1,100,NA,NA
"740","21820",3,43,NA,NA
"741","21821",155,2020.34,871,177.956371986223
"742","21822",632,12221.48,1687,374.629519857736
"743","21823",1,150,NA,NA
"744","21824",16,166,101,158.415841584158
"745","21826",717,10358.84,5325,134.647887323944
"746","21829",17,435,401,42.3940149625935
"747","21830",383,9341.89,4060,94.3349753694581
"748","21835",19,79,337,56.379821958457
"749","21837",509,5382.61,3200,159.0625
"750","21838",55,1579,1657,33.1925165962583
"751","21840",59,936.94,438,134.703196347032
"752","21841",349,6055.21,1580,220.886075949367
"753","21842",2437,52256.52,10655,228.718911309244
"754","21843",469,5810.2,NA,NA
"755","21849",541,11445.82,3577,151.244059267543
"756","21850",110,1634.26,2935,37.4787052810903
"757","21851",810,13798,6949,116.563534321485
"758","21852",1,20,NA,NA
"759","21853",555,8938.86999999999,11957,46.4163251651752
"760","21854",1,10,NA,NA
"761","21855",1,50,NA,NA
"762","21856",221,2715.48,875,252.571428571429
"763","21858",6,98.28,NA,NA
"764","21861",42,1238.16,689,60.9579100145138
"765","21862",2,20,90,22.2222222222222
"766","21863",778,15254.77,4657,167.060339274211
"767","21864",59,2239.66,548,107.664233576642
"768","21865",284,5664.64,594,478.114478114478
"769","21867",3,104,23,130.434782608696
"770","21869",178,1823.84,1145,155.458515283843
"771","21871",135,2733.21,2198,61.4194722474977
"772","21872",51,683.82,379,134.564643799472
"773","21873",1,30,NA,NA
"774","21874",139,1668.75,1874,74.1728922091782
"775","21875",853,14828.73,6676,127.771120431396
"776","21876",1,20,NA,NA
"777","21877",4,41,NA,NA
"778","21893",2,55,NA,NA
"779","21894",4,96,NA,NA
"780","21898",5,85,NA,NA
"781","2190",8,536.65,NA,NA
"782","21901",2086,51409.43,16790,124.240619416319
"783","21902",44,410,215,204.651162790698
"784","21903",1147,15152.06,5947,192.87035480074
"785","21904",1461,27753.21,7075,206.501766784452
"786","21905",4,139,NA,NA
"787","21908",1,10,NA,NA
"788","21911",1120,18688.96,11130,100.62893081761
"789","21912",119,4150.6,1139,104.477611940299
"790","21913",93,2956.27,880,105.681818181818
"791","21914",114,2967.64,860,132.558139534884
"792","21915",792,16423.72,2949,268.565615462869
"793","21916",23,382,44,522.727272727273
"794","21917",167,6169.52,2127,78.514339445228
"795","21918",604,11263.31,3692,163.596966413868
"796","21919",995,19727.17,2919,340.870161014046
"797","21920",16,331,491,32.5865580448065
"798","21921",6975,152703.25,46162,151.098305965946
"799","21922",46,5898,NA,NA
"800","21925",1,100,NA,NA
"801","21928",2,50,NA,NA
"802","21929",1,100,NA,NA
"803","21930",55,2363,132,416.666666666667
"804","21937",1,50,NA,NA
"805","21942",25,561.24,NA,NA
"806","21943",5,160,NA,NA
"807","21944",16,374,NA,NA
"808","21945",1,35,NA,NA
"809","21946",1,50,NA,NA
"810","21947",3,105,NA,NA
"811","21950",2,110,NA,NA
"812","21953",2,12,NA,NA
"813","21965",21,280,NA,NA
"814","21975",5,163,NA,NA
"815","21991",2,12,NA,NA
"816","21993",19,221,NA,NA
"817","22001",2,11,NA,NA
"818","22014",2,55,NA,NA
"819","22017",1,10,NA,NA
"820","22027",2,250,NA,NA
"821","22042",41,200,NA,NA
"822","22043",10,140,NA,NA
"823","22044",23,467,NA,NA
"824","22045",14,183,NA,NA
"825","22046",5,440,NA,NA
"826","22047",161,7081,NA,NA
"827","22050",1,25,NA,NA
"828","22057",16,250.72,NA,NA
"829","22061",2,28,NA,NA
"830","22066",1,100,NA,NA
"831","22075",3,63,NA,NA
"832","22076",2,55,NA,NA
"833","22078",20,660,NA,NA
"834","22085",1,13.43,NA,NA
"835","2209",1,20,NA,NA
"836","22093",6,266,NA,NA
"837","22104",2,220,NA,NA
"838","22113",1,3,NA,NA
"839","22114",13,13,NA,NA
"840","22117",1,10,NA,NA
"841","22122",21,920,NA,NA
"842","22124",2,13,NA,NA
"843","22133",22,177.86,NA,NA
"844","22146",5,150,NA,NA
"845","22150",1,10,NA,NA
"846","22157",1,25,NA,NA
"847","22192",1,10,NA,NA
"848","22204",1,47,NA,NA
"849","22205",2,29,NA,NA
"850","22207",2,88.26,NA,NA
"851","22208",4,125,NA,NA
"852","22209",17,303.04,NA,NA
"853","22213",3,12,NA,NA
"854","22216",3,60,NA,NA
"855","22218",1,50,NA,NA
"856","22220",3,35,NA,NA
"857","22228",4,69,NA,NA
"858","22234",3,40,NA,NA
"859","22237",1,5,NA,NA
"860","22244",2,150,NA,NA
"861","22286",1,25,NA,NA
"862","22303",5,236.17,NA,NA
"863","22304",3,60,NA,NA
"864","22306",7,150.72,NA,NA
"865","22307",2,3000,NA,NA
"866","22310",9,95,NA,NA
"867","22311",3,505,NA,NA
"868","22314",3,62,NA,NA
"869","22315",3,17,NA,NA
"870","22324",1,500,NA,NA
"871","22401",20,409,NA,NA
"872","22402",15,455,NA,NA
"873","22403",18,638,NA,NA
"874","22407",2,7,NA,NA
"875","22502",18,571,NA,NA
"876","22550",5,20,NA,NA
"877","22551",2,55,NA,NA
"878","22554",2,29,NA,NA
"879","22601",14,226,NA,NA
"880","22602",2,29.64,NA,NA
"881","22613",5,155,NA,NA
"882","22617",21,179,NA,NA
"883","22651",1,3,NA,NA
"884","22654",2,1000,NA,NA
"885","22658",13,130,NA,NA
"886","22661",2,12,NA,NA
"887","22663",5,35,NA,NA
"888","22701",1,10,NA,NA
"889","22702",7,435,NA,NA
"890","22703",16,194,NA,NA
"891","22704",6,118,NA,NA
"892","22714",1,250,NA,NA
"893","22738",8,193,NA,NA
"894","22740",1,48.26,NA,NA
"895","22745",1,15,NA,NA
"896","22750",1,250,NA,NA
"897","22769",9,163.5,NA,NA
"898","22770",1,20,NA,NA
"899","22771",82,1133.18,NA,NA
"900","22774",2,75,NA,NA
"901","22787",3,175,NA,NA
"902","22791",4,60,NA,NA
"903","22793",3,50,NA,NA
"904","22801",5,275,NA,NA
"905","22804",8,160,NA,NA
"906","22807",2,1100,NA,NA
"907","22811",10,500,NA,NA
"908","22815",1,15,NA,NA
"909","22817",7,17200,NA,NA
"910","22842",1,20,NA,NA
"911","22875",1,50,NA,NA
"912","22910",33,12299,NA,NA
"913","22913",13,457,NA,NA
"914","22915",6,330,NA,NA
